,Unnamed: 0,Timestamp,State,MW
173,173,21:58:25,0,3.0
174,174,21:58:26,0,3.0
175,175,21:58:27,0,3.0
176,176,21:58:28,0,3.0
177,177,21:58:29,0,3.0
178,178,21:58:30,0,3.0
179,179,21:58:31,0,3.0
180,180,21:58:32,0,3.0
181,181,21:58:33,0,3.0
182,182,21:58:34,0,3.0
183,183,21:58:35,0,3.0
184,184,21:58:36,0,3.0
