Timestamp,State
15:53:58,0
15:53:59,0
15:54:00,0
15:54:01,0
15:54:02,0
15:54:03,0
15:54:04,0
15:54:05,0
15:54:06,0
15:54:07,0
15:54:08,0
15:54:09,0
15:54:10,0
15:54:11,0
15:54:12,0
15:54:13,0
15:54:14,0
15:54:15,0
15:54:16,0
15:54:17,0
15:54:18,1
15:54:19,1
15:54:20,1
15:54:21,1
15:54:22,1
15:54:23,1
15:54:24,1
15:54:25,1
15:54:26,1
15:54:27,1
15:54:28,1
15:54:29,1
15:54:30,1
15:54:31,1
15:54:32,1
15:54:33,1
15:54:34,1
15:54:35,0
15:54:36,0
15:54:37,0
15:54:38,0
15:54:39,0
15:54:40,0
15:54:41,0
15:54:42,0
15:54:43,0
15:54:44,0
15:54:45,0
15:54:46,0
15:54:47,0
15:54:48,0
15:54:49,0
15:54:50,0
15:54:51,0
15:54:52,0
15:54:53,0
15:54:54,0
15:54:55,1
15:54:56,0
15:54:57,0
15:54:58,0
15:54:59,0
15:55:00,0
15:55:01,0
15:55:02,0
15:55:03,0
15:55:04,1
15:55:05,1
15:55:06,1
15:55:07,0
15:55:08,0
15:55:09,0
15:55:10,0
15:55:11,1
15:55:12,1
15:55:13,1
15:55:14,0
15:55:15,0
15:55:16,0
15:55:17,0
15:55:18,0
15:55:19,0
15:55:20,0
15:55:21,0
15:55:22,0
15:55:23,0
15:55:24,0
15:55:25,0
15:55:26,0
15:55:27,0
15:55:28,0
15:55:29,0
15:55:30,0
15:55:31,0
15:55:32,0
15:55:33,1
15:55:34,1
15:55:35,1
15:55:36,1
15:55:37,1
15:55:38,1
15:55:39,1
15:55:40,1
15:55:41,1
15:55:42,1
15:55:43,1
15:55:44,1
15:55:45,1
15:55:46,1
15:55:47,1
15:55:48,1
15:55:49,1
15:55:50,1
15:55:51,1
15:55:52,1
15:55:53,1
15:55:54,1
15:55:55,1
15:55:56,1
15:55:57,1
15:55:58,1
15:55:59,1
15:56:00,1
15:56:01,0
15:56:02,0
15:56:03,0
15:56:04,0
15:56:05,1
15:56:06,1
15:56:07,0
15:56:08,0
15:56:09,0
15:56:10,0
15:56:11,0
15:56:12,0
15:56:13,0
15:56:14,0
15:56:15,0
15:56:16,0
15:56:17,0
15:56:18,1
15:56:19,1
15:56:20,1
15:56:21,1
15:56:22,1
15:56:23,1
15:56:24,1
15:56:25,1
15:56:26,1
15:56:27,1
15:56:28,1
15:56:29,1
15:56:30,1
15:56:31,1
15:56:32,1
15:56:33,1
15:56:34,1
15:56:35,1
15:56:36,1
15:56:37,1
15:56:38,1
15:56:39,0
15:56:40,0
15:56:41,0
15:56:42,0
15:56:43,0
15:56:44,0
15:56:45,0
15:56:46,0
15:56:47,0
15:56:48,0
15:56:49,0
15:56:50,1
15:56:51,1
15:56:52,0
15:56:53,0
15:56:54,0
15:56:55,0
15:56:56,0
15:56:57,0
15:56:58,0
15:56:59,0
15:57:00,0
15:57:01,0
15:57:02,0
