,Unnamed: 0.1,Unnamed: 0,Timestamp,State,MW,ANX
0,0,0,23:09:32,0,1.0,1.0
1,1,1,23:09:33,0,1.0,1.0
2,2,2,23:09:34,0,1.0,1.0
3,3,3,23:09:35,0,1.0,1.0
4,4,4,23:09:36,0,1.0,1.0
5,5,5,23:09:37,0,1.0,1.0
6,6,6,23:09:38,0,1.0,1.0
7,7,7,23:09:39,0,1.0,1.0
8,8,8,23:09:40,0,1.0,1.0
9,9,9,23:09:41,0,1.0,1.0
10,10,10,23:09:42,0,1.0,2.0
11,11,11,23:09:43,0,1.0,1.0
12,12,12,23:09:44,0,1.0,1.0
13,13,13,23:09:45,0,1.0,1.0
14,14,14,23:09:46,0,1.0,1.0
15,15,15,23:09:47,0,1.0,1.0
16,16,16,23:09:48,0,1.0,2.0
17,17,17,23:09:49,0,1.0,1.0
18,18,18,23:09:50,0,1.0,1.0
19,19,19,23:09:51,0,1.0,1.0
20,20,20,23:09:52,0,1.0,1.0
21,21,21,23:09:53,0,1.0,1.0
22,22,22,23:09:54,0,1.0,2.0
23,23,23,23:09:55,0,1.0,1.0
24,24,24,23:09:56,0,1.0,1.0
25,25,25,23:09:57,0,1.0,1.0
26,26,26,23:09:58,0,1.0,1.0
27,27,27,23:09:59,0,1.0,1.0
28,28,28,23:10:00,0,1.0,1.0
29,29,29,23:10:01,0,1.0,1.0
30,30,30,23:10:02,0,1.0,1.0
31,31,31,23:10:03,0,1.0,1.0
32,32,32,23:10:04,0,1.0,1.0
33,33,33,23:10:05,0,1.0,1.0
34,34,34,23:10:06,0,1.0,1.0
35,35,35,23:10:07,0,1.0,1.0
36,36,36,23:10:08,0,1.0,1.0
37,37,37,23:10:09,0,1.0,1.0
38,38,38,23:10:10,0,1.0,1.0
39,39,39,23:10:11,1,1.0,1.0
40,40,40,23:10:12,1,1.0,1.0
41,41,41,23:10:13,1,1.0,1.0
42,42,42,23:10:14,1,1.0,1.0
43,43,43,23:10:15,1,1.0,1.0
44,44,44,23:10:16,1,1.0,1.0
45,45,45,23:10:17,1,1.0,1.0
46,46,46,23:10:18,0,1.0,1.0
47,47,47,23:10:19,0,1.0,1.0
48,48,48,23:10:20,0,1.0,1.0
49,49,49,23:10:21,0,1.0,1.0
50,50,50,23:10:22,0,1.0,1.0
51,51,51,23:10:23,0,1.0,1.0
52,52,52,23:10:24,0,1.0,1.0
53,53,53,23:10:25,0,1.0,1.0
54,54,54,23:10:26,0,1.0,1.0
55,55,55,23:10:27,0,1.0,1.0
56,56,56,23:10:28,0,1.0,1.0
57,57,57,23:10:29,0,1.0,1.0
58,58,58,23:10:30,0,1.0,1.0
59,59,59,23:10:31,0,1.0,2.0
60,60,60,23:10:32,0,1.0,1.0
61,61,61,23:10:33,0,1.0,1.0
62,62,62,23:10:34,0,1.0,1.0
63,63,63,23:10:35,0,1.0,1.0
64,64,64,23:10:36,0,1.0,1.0
65,65,65,23:10:37,0,1.0,1.0
66,66,66,23:10:38,0,1.0,1.0
67,67,67,23:10:39,0,1.0,1.0
68,68,68,23:10:40,0,1.0,1.0
69,69,69,23:10:41,0,1.0,1.0
70,70,70,23:10:42,0,1.0,1.0
71,71,71,23:10:43,0,1.0,1.0
72,72,72,23:10:44,0,1.0,1.0
73,73,73,23:10:45,0,1.0,1.0
74,74,74,23:10:46,0,1.0,1.0
75,75,75,23:10:47,0,1.0,1.0
76,76,76,23:10:48,0,1.0,1.0
77,77,77,23:10:49,0,1.0,1.0
78,78,78,23:10:50,0,1.0,1.0
79,79,79,23:10:51,0,1.0,1.0
80,80,80,23:10:52,0,1.0,1.0
81,81,81,23:10:53,0,1.0,1.0
82,82,82,23:10:54,0,1.0,1.0
83,83,83,23:10:55,0,1.0,1.0
84,84,84,23:10:56,0,1.0,1.0
85,85,85,23:10:57,0,1.0,1.0
86,86,86,23:10:58,0,1.0,1.0
87,87,87,23:10:59,0,1.0,2.0
88,88,88,23:11:00,0,1.0,2.0
89,89,89,23:11:01,0,1.0,2.0
90,90,90,23:11:02,0,1.0,2.0
91,91,91,23:11:03,0,1.0,1.0
92,92,92,23:11:04,0,2.0,1.0
93,93,93,23:11:05,0,2.0,1.0
94,94,94,23:11:06,0,2.0,1.0
95,95,95,23:11:07,0,1.0,2.0
96,96,96,23:11:08,0,2.0,2.0
97,97,97,23:11:09,0,2.0,1.0
98,98,98,23:11:10,0,2.0,2.0
99,99,99,23:11:11,0,2.0,2.0
100,100,100,23:11:12,0,2.0,2.0
101,101,101,23:11:13,0,2.0,2.0
102,102,102,23:11:14,0,2.0,2.0
103,103,103,23:11:15,0,1.0,2.0
104,104,104,23:11:16,0,1.0,2.0
105,105,105,23:11:17,0,1.0,2.0
106,106,106,23:11:18,0,2.0,2.0
107,107,107,23:11:19,0,2.0,2.0
108,108,108,23:11:20,0,2.0,2.0
109,109,109,23:11:21,0,1.0,2.0
110,110,110,23:11:22,0,1.0,2.0
111,111,111,23:11:23,0,2.0,2.0
112,112,112,23:11:24,0,2.0,2.0
113,113,113,23:11:25,0,1.0,2.0
114,114,114,23:11:26,0,2.0,2.0
115,115,115,23:11:27,0,2.0,2.0
116,116,116,23:11:28,0,1.0,2.0
117,117,117,23:11:29,0,1.0,2.0
118,118,118,23:11:30,0,1.0,2.0
119,119,119,23:11:31,0,1.0,2.0
120,120,120,23:11:32,0,1.0,2.0
121,121,121,23:11:33,0,1.0,2.0
122,122,122,23:11:34,1,1.0,2.0
123,123,123,23:11:35,0,1.0,2.0
124,124,124,23:11:36,0,1.0,2.0
125,125,125,23:11:37,1,1.0,2.0
126,126,126,23:11:38,1,1.0,2.0
127,127,127,23:11:39,1,1.0,2.0
128,128,128,23:11:40,1,1.0,2.0
129,129,129,23:11:41,1,1.0,2.0
130,130,130,23:11:42,1,1.0,2.0
131,131,131,23:11:43,0,1.0,2.0
132,132,132,23:11:44,1,1.0,2.0
133,133,133,23:11:45,0,1.0,2.0
134,134,134,23:11:46,0,1.0,2.0
135,135,135,23:11:47,1,1.0,2.0
136,136,136,23:11:48,0,1.0,2.0
