,Unnamed: 0.1,Unnamed: 0,Timestamp,State,MW,ANX
0,0,0,22:09:13,0,2.0,1.0
1,1,1,22:09:14,0,3.0,1.0
2,2,2,22:09:15,0,3.0,2.0
3,3,3,22:09:16,0,3.0,1.0
4,4,4,22:09:17,0,3.0,1.0
5,5,5,22:09:18,0,2.0,1.0
6,6,6,22:09:19,0,2.0,1.0
7,7,7,22:09:20,0,2.0,2.0
8,8,8,22:09:21,0,3.0,2.0
9,9,9,22:09:22,0,3.0,2.0
10,10,10,22:09:23,0,3.0,1.0
11,11,11,22:09:24,0,3.0,1.0
12,12,12,22:09:25,0,2.0,2.0
13,13,13,22:09:26,0,2.0,1.0
14,14,14,22:09:27,0,2.0,1.0
15,15,15,22:09:28,0,3.0,1.0
16,16,16,22:09:29,0,1.0,2.0
17,17,17,22:09:30,0,1.0,1.0
18,18,18,22:09:31,0,1.0,1.0
19,19,19,22:09:32,0,2.0,1.0
20,20,20,22:09:33,0,2.0,1.0
21,21,21,22:09:34,0,3.0,1.0
22,22,22,22:09:35,0,3.0,1.0
23,23,23,22:09:36,0,3.0,1.0
24,24,24,22:09:37,0,3.0,1.0
25,25,25,22:09:38,0,2.0,1.0
26,26,26,22:09:39,0,2.0,2.0
27,27,27,22:09:40,0,3.0,1.0
28,28,28,22:09:41,0,3.0,1.0
29,29,29,22:09:42,0,3.0,2.0
30,30,30,22:09:43,0,3.0,1.0
31,31,31,22:09:44,0,2.0,1.0
32,32,32,22:09:45,0,2.0,1.0
33,33,33,22:09:46,0,2.0,2.0
34,34,34,22:09:47,0,3.0,2.0
35,35,35,22:09:48,0,3.0,2.0
36,36,36,22:09:49,0,3.0,1.0
37,37,37,22:09:50,0,3.0,1.0
38,38,38,22:09:51,0,2.0,1.0
39,39,39,22:09:52,0,2.0,2.0
40,40,40,22:09:53,0,3.0,2.0
41,41,41,22:09:54,0,3.0,2.0
42,42,42,22:09:55,1,3.0,2.0
43,43,43,22:09:56,1,3.0,1.0
44,44,44,22:09:57,0,2.0,1.0
45,45,45,22:09:58,0,2.0,2.0
46,46,46,22:09:59,0,2.0,2.0
47,47,47,22:10:00,0,3.0,2.0
48,48,48,22:10:01,0,3.0,2.0
49,49,49,22:10:02,0,3.0,2.0
50,50,50,22:10:03,0,3.0,1.0
51,51,51,22:10:04,0,2.0,1.0
52,52,52,22:10:05,0,2.0,1.0
53,53,53,22:10:06,0,2.0,2.0
54,54,54,22:10:07,0,3.0,2.0
55,55,55,22:10:08,0,3.0,2.0
56,56,56,22:10:09,0,3.0,2.0
57,57,57,22:10:10,0,3.0,2.0
58,58,58,22:10:11,0,2.0,1.0
59,59,59,22:10:12,0,2.0,2.0
60,60,60,22:10:13,0,2.0,2.0
61,61,61,22:10:14,0,3.0,2.0
62,62,62,22:10:15,0,3.0,2.0
63,63,63,22:10:16,0,3.0,2.0
64,64,64,22:10:17,0,3.0,2.0
65,65,65,22:10:18,0,2.0,1.0
66,66,66,22:10:19,0,2.0,2.0
67,67,67,22:10:20,0,2.0,2.0
68,68,68,22:10:21,0,3.0,2.0
69,69,69,22:10:22,0,3.0,2.0
70,70,70,22:10:23,1,3.0,1.0
71,71,71,22:10:24,1,3.0,2.0
72,72,72,22:10:25,0,2.0,1.0
73,73,73,22:10:26,1,2.0,1.0
74,74,74,22:10:27,1,2.0,2.0
75,75,75,22:10:28,1,3.0,2.0
76,76,76,22:10:29,0,3.0,2.0
77,77,77,22:10:30,1,3.0,2.0
78,78,78,22:10:31,1,1.0,1.0
79,79,79,22:10:32,1,2.0,1.0
80,80,80,22:10:33,1,2.0,2.0
81,81,81,22:10:34,1,2.0,2.0
82,82,82,22:10:35,1,3.0,2.0
83,83,83,22:10:36,1,3.0,2.0
84,84,84,22:10:37,1,1.0,2.0
85,85,85,22:10:38,1,1.0,2.0
86,86,86,22:10:39,1,1.0,2.0
87,87,87,22:10:40,1,2.0,1.0
88,88,88,22:10:41,1,2.0,2.0
89,89,89,22:10:42,1,2.0,2.0
90,90,90,22:10:43,1,3.0,2.0
91,91,91,22:10:44,1,3.0,2.0
92,92,92,22:10:45,1,1.0,2.0
93,93,93,22:10:46,0,1.0,2.0
94,94,94,22:10:47,0,2.0,2.0
95,95,95,22:10:48,0,2.0,2.0
96,96,96,22:10:49,0,2.0,2.0
97,97,97,22:10:50,0,2.0,2.0
98,98,98,22:10:51,0,3.0,2.0
99,99,99,22:10:52,0,1.0,2.0
100,100,100,22:10:53,0,1.0,2.0
101,101,101,22:10:54,0,1.0,2.0
102,102,102,22:10:55,0,2.0,2.0
103,103,103,22:10:56,0,2.0,2.0
104,104,104,22:10:57,0,2.0,2.0
105,105,105,22:10:58,0,2.0,2.0
106,106,106,22:10:59,0,3.0,2.0
107,107,107,22:11:00,0,3.0,2.0
108,108,108,22:11:01,0,1.0,2.0
109,109,109,22:11:02,0,1.0,2.0
110,110,110,22:11:03,0,2.0,2.0
111,111,111,22:11:04,1,2.0,2.0
112,112,112,22:11:05,1,2.0,2.0
113,113,113,22:11:06,1,1.0,2.0
114,114,114,22:11:07,1,1.0,2.0
115,115,115,22:11:08,0,1.0,2.0
116,116,116,22:11:09,0,1.0,2.0
117,117,117,22:11:10,0,1.0,2.0
118,118,118,22:11:11,1,1.0,2.0
119,119,119,22:11:12,0,2.0,2.0
120,120,120,22:11:13,0,2.0,2.0
121,121,121,22:11:14,0,2.0,2.0
122,122,122,22:11:15,1,1.0,2.0
123,123,123,22:11:16,1,1.0,2.0
124,124,124,22:11:17,1,1.0,1.0
125,125,125,22:11:18,0,1.0,2.0
126,126,126,22:11:19,0,1.0,2.0
127,127,127,22:11:20,0,2.0,2.0
128,128,128,22:11:21,1,2.0,2.0
129,129,129,22:11:22,1,2.0,2.0
130,130,130,22:11:23,0,1.0,2.0
131,131,131,22:11:24,1,1.0,2.0
132,132,132,22:11:25,1,1.0,2.0
133,133,133,22:11:26,1,1.0,2.0
134,134,134,22:11:27,0,1.0,2.0
135,135,135,22:11:28,1,2.0,2.0
136,136,136,22:11:29,0,2.0,2.0
137,137,137,22:11:30,0,2.0,2.0
138,138,138,22:11:31,0,2.0,2.0
139,139,139,22:11:32,0,1.0,2.0
140,140,140,22:11:33,0,1.0,1.0
141,141,141,22:11:34,0,1.0,2.0
142,142,142,22:11:35,0,1.0,2.0
143,143,143,22:11:36,0,1.0,2.0
144,144,144,22:11:37,1,2.0,2.0
145,145,145,22:11:38,1,2.0,2.0
146,146,146,22:11:39,1,2.0,2.0
147,147,147,22:11:40,1,2.0,2.0
148,148,148,22:11:41,0,1.0,2.0
149,149,149,22:11:42,0,1.0,2.0
150,150,150,22:11:43,0,1.0,2.0
151,151,151,22:11:44,0,1.0,2.0
152,152,152,22:11:45,0,1.0,2.0
153,153,153,22:11:46,0,2.0,2.0
154,154,154,22:11:47,0,2.0,2.0
155,155,155,22:11:48,0,2.0,2.0
156,156,156,22:11:49,0,2.0,2.0
157,157,157,22:11:50,0,1.0,2.0
158,158,158,22:11:51,0,1.0,2.0
159,159,159,22:11:52,0,1.0,2.0
160,160,160,22:11:53,0,1.0,2.0
161,161,161,22:11:54,0,1.0,2.0
162,162,162,22:11:55,0,1.0,2.0
163,163,163,22:11:56,0,1.0,2.0
164,164,164,22:11:57,0,1.0,2.0
165,165,165,22:11:58,0,1.0,2.0
166,166,166,22:11:59,0,1.0,2.0
167,167,167,22:12:00,0,1.0,2.0
168,168,168,22:12:01,0,1.0,2.0
169,169,169,22:12:02,0,1.0,2.0
170,170,170,22:12:03,1,1.0,2.0
171,171,171,22:12:04,0,1.0,2.0
172,172,172,22:12:05,0,1.0,2.0
173,173,173,22:12:06,1,1.0,2.0
174,174,174,22:12:07,0,1.0,2.0
175,175,175,22:12:08,0,1.0,2.0
176,176,176,22:12:09,0,1.0,2.0
177,177,177,22:12:10,0,1.0,2.0
178,178,178,22:12:11,0,1.0,2.0
179,179,179,22:12:12,0,1.0,2.0
180,180,180,22:12:13,0,1.0,2.0
181,181,181,22:12:14,0,1.0,2.0
182,182,182,22:12:15,0,1.0,2.0
183,183,183,22:12:16,0,1.0,2.0
184,184,184,22:12:17,0,1.0,2.0
