,Unnamed: 0.1,Unnamed: 0,Timestamp,State,MW,ANX
125,125,125,22:24:57,0,1.0,1.0
126,126,126,22:24:58,0,1.0,1.0
127,127,127,22:24:59,0,2.0,1.0
128,128,128,22:25:00,1,2.0,2.0
129,129,129,22:25:01,0,1.0,2.0
130,130,130,22:25:02,1,3.0,2.0
131,131,131,22:25:03,0,3.0,2.0
132,132,132,22:25:04,0,3.0,2.0
133,133,133,22:25:05,1,3.0,2.0
134,134,134,22:25:06,1,3.0,1.0
135,135,135,22:25:07,1,1.0,2.0
136,136,136,22:25:08,1,1.0,1.0
137,137,137,22:25:09,0,1.0,2.0
138,138,138,22:25:10,0,3.0,1.0
139,139,139,22:25:11,0,2.0,1.0
140,140,140,22:25:12,0,2.0,1.0
141,141,141,22:25:13,0,1.0,1.0
142,142,142,22:25:14,0,2.0,1.0
143,143,143,22:25:15,0,1.0,1.0
144,144,144,22:25:16,0,1.0,1.0
145,145,145,22:25:17,1,1.0,1.0
146,146,146,22:25:18,0,3.0,2.0
147,147,147,22:25:19,0,2.0,1.0
148,148,148,22:25:20,0,1.0,1.0
149,149,149,22:25:21,0,3.0,1.0
150,150,150,22:25:22,0,2.0,2.0
151,151,151,22:25:23,0,1.0,2.0
152,152,152,22:25:24,0,1.0,2.0
153,153,153,22:25:25,0,1.0,2.0
154,154,154,22:25:26,0,3.0,2.0
155,155,155,22:25:27,0,3.0,2.0
156,156,156,22:25:28,0,2.0,2.0
157,157,157,22:25:29,0,3.0,2.0
158,158,158,22:25:30,0,3.0,1.0
159,159,159,22:25:31,0,1.0,2.0
160,160,160,22:25:32,0,1.0,2.0
161,161,161,22:25:33,0,1.0,2.0
162,162,162,22:25:34,0,3.0,2.0
163,163,163,22:25:35,0,3.0,2.0
164,164,164,22:25:36,0,2.0,1.0
165,165,165,22:25:37,0,2.0,1.0
166,166,166,22:25:38,0,3.0,2.0
167,167,167,22:25:39,0,3.0,2.0
168,168,168,22:25:40,0,2.0,2.0
169,169,169,22:25:41,0,2.0,2.0
170,170,170,22:25:42,1,1.0,2.0
171,171,171,22:25:43,1,1.0,2.0
172,172,172,22:25:44,1,3.0,2.0
173,173,173,22:25:45,0,3.0,2.0
174,174,174,22:25:46,0,3.0,2.0
175,175,175,22:25:47,0,3.0,2.0
176,176,176,22:25:48,0,3.0,2.0
177,177,177,22:25:49,0,3.0,2.0
178,178,178,22:25:50,0,1.0,2.0
179,179,179,22:25:51,0,1.0,2.0
180,180,180,22:25:52,0,1.0,2.0
181,181,181,22:25:53,0,1.0,2.0
182,182,182,22:25:54,0,1.0,2.0
183,183,183,22:25:55,0,3.0,2.0
184,184,184,22:25:56,0,3.0,2.0
