,Unnamed: 0.1,Unnamed: 0,Timestamp,State,MW,ANX
0,0,0,22:04:23,0,3.0,2.0
1,1,1,22:04:24,0,3.0,2.0
2,2,2,22:04:25,0,3.0,2.0
3,3,3,22:04:26,0,3.0,2.0
4,4,4,22:04:27,0,3.0,2.0
5,5,5,22:04:28,0,3.0,1.0
6,6,6,22:04:29,0,3.0,2.0
7,7,7,22:04:30,0,3.0,2.0
8,8,8,22:04:31,0,3.0,2.0
9,9,9,22:04:32,0,3.0,2.0
10,10,10,22:04:33,0,1.0,2.0
11,11,11,22:04:34,0,2.0,2.0
12,12,12,22:04:35,0,3.0,1.0
13,13,13,22:04:36,0,1.0,1.0
14,14,14,22:04:37,0,1.0,1.0
15,15,15,22:04:38,0,1.0,1.0
16,16,16,22:04:39,0,1.0,1.0
17,17,17,22:04:40,0,1.0,1.0
18,18,18,22:04:41,0,2.0,1.0
19,19,19,22:04:42,0,1.0,1.0
20,20,20,22:04:43,0,1.0,1.0
21,21,21,22:04:44,0,2.0,1.0
22,22,22,22:04:45,0,2.0,1.0
23,23,23,22:04:46,1,2.0,1.0
24,24,24,22:04:47,0,2.0,1.0
25,25,25,22:04:48,0,1.0,1.0
26,26,26,22:04:49,0,2.0,1.0
27,27,27,22:04:50,0,3.0,1.0
28,28,28,22:04:51,0,3.0,1.0
29,29,29,22:04:52,0,2.0,1.0
30,30,30,22:04:53,0,3.0,1.0
31,31,31,22:04:54,0,3.0,1.0
32,32,32,22:04:55,0,3.0,1.0
33,33,33,22:04:56,0,3.0,1.0
34,34,34,22:04:57,0,3.0,2.0
35,35,35,22:04:58,0,2.0,1.0
36,36,36,22:04:59,0,3.0,1.0
37,37,37,22:05:00,0,2.0,1.0
38,38,38,22:05:01,0,2.0,1.0
39,39,39,22:05:02,0,3.0,1.0
40,40,40,22:05:03,0,2.0,1.0
41,41,41,22:05:04,0,3.0,1.0
42,42,42,22:05:05,0,3.0,1.0
43,43,43,22:05:06,0,2.0,1.0
44,44,44,22:05:07,0,2.0,1.0
45,45,45,22:05:08,1,3.0,1.0
46,46,46,22:05:09,1,3.0,1.0
47,47,47,22:05:10,0,2.0,1.0
48,48,48,22:05:11,0,3.0,1.0
49,49,49,22:05:12,0,2.0,1.0
50,50,50,22:05:13,0,2.0,1.0
51,51,51,22:05:14,0,3.0,2.0
52,52,52,22:05:15,0,3.0,2.0
53,53,53,22:05:16,0,2.0,2.0
54,54,54,22:05:17,0,3.0,2.0
